_id,MUNICIPALITY,LAST_NAME,FIRST_NAME,OFFICE_FILLED,VOTES_FOR_CANDIDATE,VOTES_FOR_OFFICE,ELECTED_OR_ACCLAIMED,COUNCIL_INCUMBENT,OFFICE_INCUMBENT,OFFICE_SUBJECT_TO_RECOUNT
2068,Quinte West C,Stedall,Shelley,Local Councillor,1775,3371,Elected,No,No,No
2069,Rainy River T,Ewald,Deborah,Mayor,,,Acclaimed,Yes,Yes,No
2070,Rainy River T,Kreger,Martin,Local Councillor,143,180,Elected,Yes,Yes,No
2071,Rainy River T,Helgeson,Robert Brent,Local Councillor,131,180,Elected,Yes,Yes,No
2072,Rainy River T,Ivall,Neil,Local Councillor,117,180,Elected,Yes,Yes,No
2073,Rainy River T,Armstrong,Daniel G.,Local Councillor,105,180,Elected,No,No,No
2074,Rainy River T,Brown,Greg,Local Councillor,81,180,Elected,No,No,No
2075,Rainy River T,Prost,Gordon,Local Councillor,80,180,Elected,No,No,No
2076,Ramara Tp,Clarke,Basil,Mayor,1830,4251,Elected,Yes,Yes,No
2077,Ramara Tp,Fisher,Jennifer,Local Councillor,416,820,Elected,Yes,Yes,No
2078,Ramara Tp,Hetherington,Gary,Local Councillor,367,912,Elected,Yes,Yes,No
2079,Ramara Tp,Snutch,David,Local Councillor,,,Acclaimed,Yes,Yes,No
2080,Ramara Tp,Tuju,Dana,Local Councillor,472,822,Elected,No,No,No
2081,Ramara Tp,Bell,Sherri,Local Councillor,578,955,Elected,No,No,No
2082,Ramara Tp,Bell,Keith,Deputy Mayor,1457,4171,Elected,No,No,No
2083,Red Lake M,Mota,Fred,Mayor,1397,1725,Elected,Yes,Yes,No
2084,Red Lake M,Badiuk,Warren,Local Councillor,1152,1725,Elected,Yes,Yes,No
2085,Red Lake M,Hager,Janet,Local Councillor,1139,1725,Elected,Yes,Yes,No
2086,Red Lake M,Kristoff,Jamie,Local Councillor,1014,1725,Elected,Yes,Yes,No
2087,Red Lake M,Geary,Debra,Local Councillor,877,1725,Elected,No,No,No
2088,Red Rock Tp,Robinson,Darquise,Mayor,,,Acclaimed,Yes,Yes,No
2089,Red Rock Tp,Muir,Gordon,Local Councillor,129,301,Elected,Yes,Yes,No
2090,Red Rock Tp,Smith,Mickel,Local Councillor,156,301,Elected,No,No,No
2091,Red Rock Tp,Gladun,Nancy,Local Councillor,161,301,Elected,No,No,No
2092,Red Rock Tp,Brand,Cindy,Local Councillor,138,301,Elected,No,No,No
2093,Renfrew T,Emon,Peter,Reeve (Not Head Of Council),,,Acclaimed,Yes,Yes,No
2094,Renfrew T,Sidney,Tom,Mayor,873,2746,Elected,Yes,No,
2095,Renfrew T,Cybulski,Kyle,Local Councillor,1506,11025,Elected,No,No,No
2096,Renfrew T,Dick,Andrew,Local Councillor,1258,11025,Elected,No,No,No
2097,Renfrew T,Legris,Jason,Local Councillor,1619,11025,Elected,No,No,No
2098,Renfrew T,McDonald,John,Local Councillor,1586,11025,Elected,No,No,No
2099,Renfrew T,McWhirter,Clint,Local Councillor,1615,11025,Elected,No,No,No
2100,Richmond Hill C,West,David,Mayor,28318,40349,Elected,Yes,Yes,No
2101,Richmond Hill C,Liu,Castro,Local Councillor,5299,6240,Elected,Yes,Yes,No
2102,Richmond Hill C,Cilevitz,Karen,Local Councillor,1525,6534,Elected,Yes,Yes,No
2103,Richmond Hill C,Davidson,Carol,Local Councillor,3201,6977,Elected,No,No,No
2104,Richmond Hill C,Thompson,Scott,Local Councillor,2028,5151,Elected,No,No,No
2105,Richmond Hill C,Cui,Simon,Local Councillor,2498,7725,Elected,No,No,No
2106,Richmond Hill C,Shiu,Michael,Local Councillor,1893,6845,Elected,No,No,No
2107,Richmond Hill C,Chan,Godwin,Local and Regional Councillor,25392,65772,Elected,Yes,No,No
2108,Richmond Hill C,DiPaola,Joe,Local and Regional Councillor,18334,65772,Elected,Yes,Yes,No
2109,Rideau Lakes Tp,Hoogenboom,Arie,Mayor,2995,,Elected,Yes,Yes,No
2110,Rideau Lakes Tp,Banks,Jeff,Local Councillor,,,Acclaimed,Yes,Yes,No
2111,Rideau Lakes Tp,Delaney,Joan,Local Councillor,384,,Elected,Yes,Yes,No
2112,Rideau Lakes Tp,Livingston,Cathy,Local Councillor,608,,Elected,Yes,Yes,No
2113,Rideau Lakes Tp,Maxwell,Marcia,Local Councillor,,,Acclaimed,Yes,Yes,No
2114,Rideau Lakes Tp,Pollard,Ron,Local Councillor,492,,Elected,Yes,Yes,No
2115,Rideau Lakes Tp,Dunfield,Sue,Local Councillor,736,,Elected,No,No,No
2116,Rideau Lakes Tp,Carr,Linda,Local Councillor,416,,Elected,No,No,No
2117,Rideau Lakes Tp,Hutchings,Deborah Anne,Local Councillor,493,,Elected,No,No,No
2118,Russell Tp,Leroux,Pierre,Mayor,,,Acclaimed,Yes,Yes,No
2119,Russell Tp,Laurin,Jamie,Local Councillor,2796,15672,Elected,Yes,Yes,No
2120,Russell Tp,Tarnowski,Mike,Local Councillor,2780,15672,Elected,Yes,Yes,No
2121,Russell Tp,Deacon,Lisa,Local Councillor,3096,15672,Elected,No,No,No
2122,Russell Tp,Lalonde,Marc,Local Councillor,2597,15672,Elected,No,No,No
2123,Ryerson Tp,Sterling,George,Mayor,100,476,Elected,Yes,Yes,No
2124,Ryerson Tp,Patterson,Delynne,Local Councillor,301,1549,Elected,Yes,Yes,No
2125,Ryerson Tp,Miller,Glenn,Local Councillor,248,1549,Elected,No,No,No
2126,Ryerson Tp,Abbott,Beverly,Local Councillor,244,1549,Elected,No,No,No
2127,Ryerson Tp,Robertson,Dan,Local Councillor,224,1549,Elected,No,No,No
2128,Sables-Spanish Rivers Tp,Burke,Kevin,Mayor,741,1076,Elected,Yes,No,No
2129,Sables-Spanish Rivers Tp,Fairburn,Edith,Local Councillor,537,5260,Elected,Yes,Yes,No
2130,Sables-Spanish Rivers Tp,Phillips,Cheryl,Local Councillor,424,5260,Elected,Yes,Yes,No
2131,Sables-Spanish Rivers Tp,Mercieca,Mike,Local Councillor,829,5260,Elected,No,No,No
2132,Sables-Spanish Rivers Tp,Burns,Casimir,Local Councillor,418,5260,Elected,No,No,No
2133,Sables-Spanish Rivers Tp,Crabs,Harold,Local Councillor,554,5260,Elected,No,No,No
2134,Sables-Spanish Rivers Tp,Hobbs,Merri-Ann,Local Councillor,496,5260,Elected,No,No,No
2135,Sarnia C,Bradley,Mike,Mayor,12561,21169,Elected,Yes,Yes,No
2136,Sarnia C,Burrell,Terry,Local Councillor,5742,70386,Elected,Yes,Yes,No
2137,Sarnia C,Vandenberg,George,Local Councillor,5999,70386,Elected,Yes,Yes,No
2138,Sarnia C,Gillis,Anne Marie,Local Councillor,4957,70386,Elected,No,No,No
2139,Sarnia C,Kilner,Adam,Local Councillor,7125,70386,Elected,No,No,No
2140,Sarnia C,Boushy,Dave,Local and County Councillor,7863,67451,Elected,Yes,Yes,No
2141,Sarnia C,Dennis,Bill,Local and County Councillor,9669,67451,Elected,Yes,No,No
2142,Sarnia C,White,Brian,Local and County Councillor,9385,67451,Elected,Yes,Yes,No
2143,Sarnia C,McRoberts,Chrissy,Local and County Councillor,9526,67451,Elected,No,No,No
2144,Saugeen Shores T,Myatt,Mike,Vice Deputy Mayor,,,Acclaimed,Yes,Yes,No
2145,Saugeen Shores T,Charbonneau,Luke,Mayor,,,Acclaimed,Yes,Yes,No
2146,Saugeen Shores T,Divinski,John,Local Councillor,,,Acclaimed,Yes,Yes,No
2147,Saugeen Shores T,Grace,Cheryl,Local Councillor,,,Acclaimed,Yes,Yes,No
2148,Saugeen Shores T,Myette,David,Local Councillor,772,2289,Elected,Yes,Yes,No
2149,Saugeen Shores T,Halpin,T.C. Bud,Local Councillor,1485,4211,Elected,No,No,No
2150,Saugeen Shores T,Stack,Rachel,Local Councillor,1002,4211,Elected,No,No,No
2151,Saugeen Shores T,Duhaime,Justin,Local Councillor,787,2289,Elected,No,No,No
2152,Saugeen Shores T,Huber,Diane,Deputy Mayor,2431,5193,Elected,No,No,No
2153,Sault Ste Marie C,Shoemaker,Matthew,Mayor,9626,21762,Elected,Yes,No,No
2154,Sault Ste Marie C,Bruni,Marchy,Local Councillor,2308,6461,Elected,Yes,Yes,No
2155,Sault Ste Marie C,Dufour,Luke,Local Councillor,2462,6759,Elected,Yes,Yes,No
2156,Sault Ste Marie C,Gardi,Corey,Local Councillor,2094,5521,Elected,Yes,Yes,No
2157,Sault Ste Marie C,Hollingsworth,Sandra,Local Councillor,3255,9381,Elected,Yes,Yes,No
2158,Sault Ste Marie C,Scott,Matthew,Local Councillor,2052,5521,Elected,Yes,Yes,No
2159,Sault Ste Marie C,Vezeau-Allen,Lisa,Local Councillor,2206,6759,Elected,Yes,Yes,No
2160,Sault Ste Marie C,Caputo,Angela,Local Councillor,2336,7931,Elected,No,No,No
2161,Sault Ste Marie C,Zagordo,Ron,Local Councillor,1982,7931,Elected,No,No,No
2162,Sault Ste Marie C,Kinach,Stephan,Local Councillor,1707,6461,Elected,No,No,No
2163,Sault Ste Marie C,Spina,Sonny,Local Councillor,2900,9381,Elected,No,No,No
2164,Schreiber Tp,Mullins,Kevin,Mayor,308,561,Elected,Yes,Yes,No
2165,Schreiber Tp,Mauro,Dave,Local Councillor,258,2011,Elected,Yes,Yes,No
2166,Schreiber Tp,McGrath,Daniel,Local Councillor,307,2011,Elected,Yes,Yes,No
2167,Schreiber Tp,Bryson,Benjamin,Local Councillor,311,2011,Elected,No,No,No
2168,Schreiber Tp,Bourgeault,Anne-Marie,Local Councillor,481,2011,Elected,No,No,No
2169,Scugog Tp,Wotten,Wilma,Mayor,,,Acclaimed,Yes,No,
2170,Scugog Tp,Rock,Robert,Local Councillor,,,Acclaimed,Yes,Yes,
2171,Scugog Tp,Guido,Janna,Local Councillor,,,Acclaimed,Yes,Yes,
2172,Scugog Tp,Le Roy,David,Local Councillor,,,Acclaimed,No,No,
2173,Scugog Tp,Coyne,Terry,Local Councillor,634,1388,Elected,No,No,No
2174,Scugog Tp,Wright,Harold,Local Councillor,,,Acclaimed,No,No,
2175,Scugog Tp,McDougall,Ian,Local and Regional Councillor,,,Acclaimed,Yes,No,
2176,Seguin Tp,MacDiarmid,Ann,Mayor,,,Acclaimed,Yes,Yes,No
2177,Seguin Tp,Fellner,Terry,Local Councillor,,,Acclaimed,Yes,Yes,No
2178,Seguin Tp,Collins,Ted,Local Councillor,303,582,Elected,Yes,Yes,No
2179,Seguin Tp,Finnson,Gail,Local Councillor,,,Acclaimed,Yes,Yes,No
2180,Seguin Tp,Adams,Ken,Local Councillor,264,472,Elected,No,No,No
2181,Seguin Tp,Buszynski,Mario,Local Councillor,339,578,Elected,No,No,No
2182,Seguin Tp,Getty,Greg,Local Councillor,594,755,Elected,No,No,No
2183,Selwyn Tp,Senis,Sherry,Mayor,,,Acclaimed,Yes,No,No
2184,Selwyn Tp,Coulas,Mary,Local Councillor,1121,1485,Elected,No,No,No
2185,Selwyn Tp,Henry,Brian,Local Councillor,1059,1561,Elected,No,No,No
2186,Selwyn Tp,Boyko,John,Local Councillor,897,1103,Elected,No,No,No
2187,Selwyn Tp,Black,Ron,Deputy Mayor,,,Acclaimed,No,No,No
2188,Severn Tp,Burkett,Mike,Mayor,3740,4275,Elected,Yes,Yes,No
2189,Severn Tp,McIntyre,Jim,Local Councillor,,,Acclaimed,Yes,Yes,No
2190,Severn Tp,Taylor,Mark,Local Councillor,,,Acclaimed,Yes,Yes,No
2191,Severn Tp,Janssen,Dan,Local Councillor,301,957,Elected,No,No,No
2192,Severn Tp,Brennan,Phil,Local Councillor,,,Acclaimed,Yes,Yes,No
2193,Severn Tp,Minnings,Wanda,Local Councillor,511,802,Elected,No,No,No
2194,Severn Tp,Cox,Judith,Deputy Mayor,2372,4299,Elected,Yes,No,No
2195,Shelburne T,Mills,Wade,Mayor,,,Acclaimed,Yes,Yes,No
2196,Shelburne T,Benotto,Walter,Local Councillor,969,8373,Elected,Yes,Yes,No
2197,Shelburne T,Fegan,Kyle,Local Councillor,880,8373,Elected,Yes,Yes,No
2198,Shelburne T,Wegener,Lindsay,Local Councillor,1035,8373,Elected,Yes,Yes,No
2199,Shelburne T,Guchardi,Len,Local Councillor,931,8373,Elected,No,No,No
2200,Shelburne T,Sample,Daniel,Local Councillor,910,8373,Elected,No,No,No
2201,Shelburne T,Hall,Shane,Deputy Mayor,1087,2110,Elected,Yes,No,No
2202,Shuniah M,Landry,Wendy,Mayor,,,Acclaimed,Yes,Yes,No
2203,Shuniah M,Chomut,Meghan,Local Councillor,167,287,Elected,Yes,Yes,No
2204,Shuniah M,Blunt,Donna,Local Councillor,,,Acclaimed,Yes,Yes,No
2205,Shuniah M,Giardetti,Ron,Local Councillor,,,Acclaimed,Yes,Yes,No
2206,Shuniah M,Smith,Don,Local Councillor,,,Acclaimed,Yes,Yes,No
2207,Sioux Lookout M,Lawrance,Doug,Mayor,,,Acclaimed,Yes,Yes,No
2208,Sioux Lookout M,Cassidy,Joe,Local Councillor,725,1054,Elected,Yes,Yes,No
2209,Sioux Lookout M,Lago,Cory,Local Councillor,612,1054,Elected,Yes,Yes,No
2210,Sioux Lookout M,Timpson,Joyce,Local Councillor,592,1054,Elected,Yes,Yes,No
2211,Sioux Lookout M,Van Breda,Reece,Local Councillor,565,1054,Elected,No,No,No
2212,Sioux Lookout M,Cosco,Joan,Local Councillor,710,1054,Elected,No,No,No
2213,Sioux Lookout M,Beaulne,Luc,Local Councillor,614,1054,Elected,No,No,No
2214,Sioux Narrows-Nestor Falls Tp,Black,Gale,Mayor,,,Acclaimed,Yes,No,No
2215,Sioux Narrows-Nestor Falls Tp,Salvador,Steve,Local Councillor,,,Acclaimed,Yes,Yes,No
2216,Sioux Narrows-Nestor Falls Tp,Rydberg,Matthew,Local Councillor,,,Acclaimed,Yes,Yes,No
2217,Sioux Narrows-Nestor Falls Tp,Brothwell,Douglas,Local Councillor,,,Acclaimed,No,No,No
2218,Sioux Narrows-Nestor Falls Tp,Chant,Holly,Local Councillor,,,Acclaimed,No,No,No
2219,Smiths Falls ST,Pankow,Shawn,Mayor,1635,2695,Elected,Yes,Yes,No
2220,Smiths Falls ST,Brennan,Jay,Local Councillor,1792,13563,Elected,Yes,Yes,No
2221,Smiths Falls ST,McGuire,Chris,Local Councillor,1270,13563,Elected,Yes,Yes,No
2222,Smiths Falls ST,McKenna,Peter,Local Councillor,1317,13563,Elected,Yes,Yes,No
2223,Smiths Falls ST,Miller,Jennifer,Local Councillor,1521,13563,Elected,No,No,No
2224,Smiths Falls ST,Robinson,Stephen,Local Councillor,1191,13563,Elected,No,No,No
2225,Smiths Falls ST,Quinn,Dawn,Local Councillor,1160,13563,Elected,No,No,No
2226,Smooth Rock Falls T,Roberts,Patrick,Mayor,294,638,Elected,Yes,No,No
2227,Smooth Rock Falls T,Alie,Daniel,Local Councillor,291,2724,Elected,Yes,Yes,No
2228,Smooth Rock Falls T,Gagnon,Leslie,Local Councillor,342,2724,Elected,No,No,No
2229,Smooth Rock Falls T,Pelletier,Denise,Local Councillor,377,2724,Elected,No,No,No
2230,Smooth Rock Falls T,Rochon,Angèle,Local Councillor,308,2724,Elected,No,No,No
2231,South Algonquin Tp,Lavalley,Ethel,Mayor,645,952,Elected,No,No,No
2232,South Algonquin Tp,Rodnick,Bill,Local Councillor,,,Acclaimed,Yes,Yes,No
2233,South Algonquin Tp,Collins,Sandra,Local Councillor,48,88,Elected,Yes,Yes,No
2234,South Algonquin Tp,Florent,Joe,Local Councillor,,,Acclaimed,Yes,Yes,No
2235,South Algonquin Tp,Kuiack,Joan,Local Councillor,353,438,Elected,No,No,No
2236,South Algonquin Tp,Pigeon,Shawn,Local Councillor,118,145,Elected,No,No,No
2237,South Algonquin Tp,Siydock,Laurie,Local Councillor,277,438,Elected,No,No,No
2238,South Bruce M,Goetz,Mark,Mayor,1311,2897,Elected,Yes,No,No
2239,South Bruce M,Ireland,Mark,Local Councillor,837,1358,Elected,Yes,Yes,No
2240,South Bruce M,McDonagh,Mike,Local Councillor,889,1358,Elected,Yes,Yes,No
2241,South Bruce M,Niesen,Mike,Local Councillor,1770,2897,Elected,Yes,Yes,No
2242,South Bruce M,Bross,Audrey,Local Councillor,,,Acclaimed,No,No,No
2243,South Bruce M,Van Dyk,Nigel,Local Councillor,1802,2897,Elected,No,No,No
2244,South Bruce M,Goetz,Jeff,Local Councillor,,,Acclaimed,No,No,No
2245,South Dundas Tp,Broad,Jason,Mayor,1596,3849,Elected,No,No,No
2246,South Dundas Tp,Smyth,Thomas,Local Councillor,2027,10295,Elected,No,No,No
2247,South Dundas Tp,Veinotte,Cole,Local Councillor,2219,10295,Elected,No,No,No
2248,South Dundas Tp,Ward,Danielle,Local Councillor,1851,10295,Elected,No,No,No
2249,South Dundas Tp,St. Pierre,Marc,Deputy Mayor,2040,3833,Elected,No,No,No
2250,South Frontenac Tp,Vandewal,Ron,Mayor,3090,6434,Elected,Yes,Yes,No
2251,South Frontenac Tp,Roberts,Norm,Local Councillor,650,3067,Elected,Yes,Yes,No
2252,South Frontenac Tp,Sleeth,Ron,Local Councillor,1006,3067,Elected,Yes,Yes,No
2253,South Frontenac Tp,Leonard,Ray,Local Councillor,1136,2745,Elected,Yes,Yes,No
2254,South Frontenac Tp,Morey,Doug,Local Councillor,700,2745,Elected,Yes,Yes,No
2255,South Frontenac Tp,Ruttan,Randy,Local Councillor,1225,3514,Elected,Yes,Yes,No
2256,South Frontenac Tp,Godfrey,Charlene,Local Councillor,497,1692,Elected,No,No,No
2257,South Frontenac Tp,Pegrum,Steven,Local Councillor,622,1692,Elected,No,No,No
2258,South Frontenac Tp,Trueman,Scott,Local Councillor,1197,3514,Elected,No,No,No
2259,South Glengarry Tp,McDonald,Lachlan,Mayor,2358,4492,Elected,No,No,No
2260,South Glengarry Tp,Jaworski,Stephanie,Local Councillor,3214,11083,Elected,Yes,No,No
2261,South Glengarry Tp,McDonell,Sam,Local Councillor,2999,11083,Elected,Yes,Yes,No
2262,South Glengarry Tp,Bougie,Trevor,Local Councillor,2672,11083,Elected,No,No,No
2263,South Glengarry Tp,Lang,Martin,Deputy Mayor,3201,4479,Elected,Yes,No,No
2264,South Huron M,Finch,George,Mayor,2073,3579,Elected,Yes,Yes,No
2265,South Huron M,Neeb,Aaron,Local Councillor,1234,3332,Elected,Yes,Yes,No
2266,South Huron M,Oke,Ted,Local Councillor,,,Acclaimed,Yes,Yes,No
2267,South Huron M,Vaughan,Marissa,Local Councillor,690,2335,Elected,Yes,Yes,No
2268,South Huron M,Dietrich,Milt,Local Councillor,388,2335,Elected,No,No,No
2269,South Huron M,Denomme,Marc,Local Councillor,1114,3332,Elected,No,No,No
2270,South Huron M,Dietrich,Jim,Deputy Mayor,2189,3527,Elected,Yes,Yes,No
2271,South River V,Coleman,Jim,Mayor,,,Acclaimed,Yes,Yes,No
2272,South River V,O'Hallarn,Bill,Local Councillor,,,Acclaimed,Yes,Yes,No
2273,South River V,Brandt,Teri,Local Councillor,,,Acclaimed,Yes,Yes,No
2274,South River V,Scott,Brenda,Local Councillor,,,Acclaimed,Yes,Yes,No
2275,South River V,Brooks,Robert,Local Councillor,,,Acclaimed,No,No,No
2276,South Stormont Tp,McGillis,Bryan,Mayor,2592,4420,Elected,Yes,Yes,No
2277,South Stormont Tp,MacIsaac,Jennifer,Local Councillor,2935,11274,Elected,Yes,Yes,No
2278,South Stormont Tp,Woods,Cindy,Local Councillor,2341,11274,Elected,Yes,Yes,No
2279,South Stormont Tp,McIntyre,Reid,Local Councillor,2746,11274,Elected,No,No,No
2280,South Stormont Tp,Guindon,Andrew,Deputy Mayor,3024,4401,Elected,Yes,No,No
2281,Southgate Tp,Milne,Brian,Mayor,911,1786,Elected,Yes,No,No
2282,Southgate Tp,Rice,Jason,Local Councillor,1108,1786,Elected,Yes,Yes,No
2283,Southgate Tp,Shipston,Martin,Local Councillor,929,1786,Elected,Yes,Yes,No
2284,Southgate Tp,Ferguson,Jim,Local Councillor,1045,1786,Elected,No,No,No
2285,Southgate Tp,John,Joan,Local Councillor,920,1786,Elected,No,No,No
2286,Southgate Tp,Singh Soares,Monica,Local Councillor,729,1786,Elected,No,No,No
2287,Southgate Tp,Dobreen,Barbara,Deputy Mayor,1319,1786,Elected,Yes,No,No
2288,Southwest Middlesex M,Mayhew,Allan,Mayor,1434,2229,Elected,Yes,Yes,
2289,Southwest Middlesex M,Choi,Amy,Local Councillor,357,1057,Elected,Yes,Yes,
2290,Southwest Middlesex M,Vink,Martin,Local Councillor,471,1057,Elected,Yes,Yes,
2291,Southwest Middlesex M,McGill,Mark,Local Councillor,429,1391,Elected,Yes,Yes,
2292,Southwest Middlesex M,McCallum,Don,Local Councillor,318,1391,Elected,No,No,
2293,Southwest Middlesex M,Haggith,Joel,Local Councillor,,,Acclaimed,No,No,
2294,Southwest Middlesex M,Myers,Ed,Local Councillor,,,Acclaimed,No,No,
2295,Southwest Middlesex M,Sholdice,Mike,Deputy Mayor,1594,2209,Elected,Yes,No,
2296,South-West Oxford Tp,Mayberry,David,Mayor,,,Acclaimed,Yes,Yes,No
2297,South-West Oxford Tp,Buchner,Paul,Local Councillor,227,291,Elected,Yes,Yes,No
2298,South-West Oxford Tp,Durston,Valerie,Local Councillor,,,Acclaimed,Yes,Yes,No
2299,South-West Oxford Tp,Pickard,Jim,Local Councillor,,,Acclaimed,Yes,Yes,No
2300,South-West Oxford Tp,Way,George,Local Councillor,,,Acclaimed,Yes,Yes,No
2301,South-West Oxford Tp,Gillis,Craig,Local Councillor,,,Acclaimed,Yes,Yes,No
2302,South-West Oxford Tp,Ypma,Peter,Local Councillor,,,Acclaimed,Yes,Yes,No
2303,Southwold Tp,Jones,Grant,Mayor,885,1514,Elected,Yes,Yes,No
2304,Southwold Tp,Emons,Sarah,Local Councillor,991,3516,Elected,Yes,Yes,No
2305,Southwold Tp,Adzija,John,Local Councillor,828,3516,Elected,No,No,No
2306,Southwold Tp,Fellows,Scott,Local Councillor,935,3516,Elected,No,No,No
2307,Southwold Tp,Pennings,Justin,Deputy Mayor,,,Acclaimed,Yes,No,No
2308,Spanish T,Von Pickartz,Karen,Mayor,295,337,Elected,Yes,No,No
2309,Spanish T,Joncas,Debra,Local Councillor,263,1197,Elected,Yes,Yes,No
2310,Spanish T,Trudel,Sandra,Local Councillor,295,1197,Elected,Yes,Yes,No
2311,Spanish T,Zarichney,Mary-Louise,Local Councillor,273,1197,Elected,Yes,Yes,No
2312,Spanish T,Clague,Ted,Local Councillor,221,1197,Elected,No,No,No
2313,Springwater Tp,Coughlin,Jennifer,Mayor,3472,5755,Elected,Yes,No,No
2314,Springwater Tp,Moore,Anita,Local Councillor,577,1068,Elected,Yes,Yes,No
2315,Springwater Tp,Garwood,Matt,Local Councillor,788,1145,Elected,No,No,No
2316,Springwater Tp,Alexander,Danielle,Local Councillor,,,Acclaimed,No,No,No
2317,Springwater Tp,Thompson,Brad,Local Councillor,542,1373,Elected,No,No,No
2318,Springwater Tp,Fisher,Phil,Local Councillor,744,1328,Elected,No,No,No
2319,Springwater Tp,Cabral,George,Deputy Mayor,2409,5755,Elected,Yes,No,No
2320,St Catharines C,Siscoe,Mat,Mayor,17808,25900,Elected,No,No,No
2321,St Catharines C,McPherson,Robin,Local Councillor,1882,7610,Elected,Yes,Yes,No
2322,St Catharines C,Dodge,Dawn,Local Councillor,3013,8290,Elected,Yes,Yes,No
2323,St Catharines C,Garcia,Carlos,Local Councillor,3154,8294,Elected,Yes,Yes,No
2324,St Catharines C,Harris,Matt,Local Councillor,1837,7377,Elected,Yes,Yes,No
2325,St Catharines C,Kushner,Joseph,Local Councillor,1924,7377,Elected,Yes,Yes,No
2326,St Catharines C,Miller,Greg,Local Councillor,1577,5990,Elected,Yes,Yes,No
2327,St Catharines C,Phillips,Bill,Local Councillor,3013,8290,Elected,Yes,Yes,No
2328,St Catharines C,Townsend,Kevin,Local Councillor,1700,5229,Elected,Yes,Yes,No
2329,St Catharines C,Williamson,Bruce,Local Councillor,3149,8294,Elected,Yes,Yes,No
2330,St Catharines C,Lindal,Jacqueline,Local Councillor,1343,5990,Elected,No,No,No
2331,St Catharines C,Stevens,Mark,Local Councillor,1311,5229,Elected,No,No,No
2332,St Catharines C,Ratzlaff,Caleb,Local Councillor,1767,7610,Elected,No,No,No
2333,St Clair Tp,Agar,Jeff,Mayor,2437,4939,Elected,No,No,No
2334,St Clair Tp,Brown,Pat,Local Councillor,2033,3338,Elected,Yes,Yes,No
2335,St Clair Tp,Myers,Bill,Local Councillor,898,1601,Elected,Yes,Yes,No
2336,St Clair Tp,Foster,Holly,Local Councillor,1736,3338,Elected,No,No,No
2337,St Clair Tp,Langis,Cathy,Local Councillor,1662,3338,Elected,No,No,No
2338,St Clair Tp,Langstaff,Brad,Local Councillor,735,1601,Elected,No,No,No
2339,St Clair Tp,Miller,Steve,Deputy Mayor,,,Acclaimed,Yes,Yes,No
2340,St Joseph Tp,Wildman,Jody,Mayor,452,918,Elected,Yes,Yes,No
2341,St Joseph Tp,Senecal,Greg,Local Councillor,514,2834,Elected,Yes,Yes,No
2342,St Joseph Tp,Hall,Bryon,Local Councillor,548,2834,Elected,Yes,Yes,No
2343,St Joseph Tp,Adams,Steven,Local Councillor,584,2834,Elected,Yes,Yes,No
2344,St Joseph Tp,Ross,Cameron,Local Councillor,586,2834,Elected,No,No,No
2345,St Marys ST,Strathdee,Al,Mayor,,,Acclaimed,Yes,Yes,No
2346,St Marys ST,Craigmile,Jim,Local Councillor,1132,7734,Elected,Yes,Yes,No
2347,St Marys ST,Edney,Robert,Local Councillor,1103,7734,Elected,Yes,Yes,No
2348,St Marys ST,Luna,Marg,Local Councillor,1019,7734,Elected,Yes,Yes,No
2349,St Marys ST,Pridham,Fern,Local Councillor,1086,7734,Elected,Yes,Yes,No
2350,St Marys ST,Lucas,Dave,Local Councillor,1049,7734,Elected,No,No,No
2351,St Marys ST,Alyward,Brogan,Local Councillor,875,7734,Elected,No,No,No
2352,St Thomas C,Preston,Joe,Mayor,5526,9344,Elected,Yes,Yes,No
2353,St Thomas C,Wookey,Steve,Local Councillor,5564,,Elected,Yes,Yes,No
2354,St Thomas C,Baldwin-Sands,Lori,Local Councillor,5057,,Elected,Yes,Yes,No
2355,St Thomas C,Clarke,Gary,Local Councillor,4811,,Elected,Yes,Yes,No
2356,St Thomas C,Herbert,Jim,Local Councillor,3521,,Elected,Yes,Yes,No
2357,St Thomas C,Kohler,Jeff,Local Councillor,5253,,Elected,Yes,Yes,No
2358,St Thomas C,Peters,Steve,Local Councillor,7385,,Elected,Yes,Yes,No
2359,St Thomas C,Gibson,Rose,Local Councillor,3266,,Elected,No,No,No
2360,St Thomas C,McCaulley,Tara,Local Councillor,3101,,Elected,No,No,No
2361,St-Charles M,Branconnier,Paul,Mayor,506,899,Elected,Yes,No,No
2362,St-Charles M,Loftus,Monica,Local Councillor,513,2939,Elected,Yes,Yes,No
2363,St-Charles M,Lachance,Joshua,Local Councillor,429,2939,Elected,No,No,No
2364,St-Charles M,Laframboise,Julie,Local Councillor,614,2939,Elected,No,No,No
2365,St-Charles M,Pothier,Mathieu,Local Councillor,492,2939,Elected,No,No,No
2366,Stirling-Rawdon Tp,Mullin,Bob,Mayor,1058,1647,Elected,Yes,Yes,No
2367,Stirling-Rawdon Tp,Solmes,Jeremy,Local Councillor,573,1704,Elected,Yes,Yes,No
2368,Stirling-Rawdon Tp,Graff,Dean,Local Councillor,508,1704,Elected,No,No,No
2369,Stirling-Rawdon Tp,Smith,Caroline,Local Councillor,530,1319,Elected,No,No,No
2370,Stirling-Rawdon Tp,Stewart,Donald,Local Councillor,455,1319,Elected,No,No,No
2371,Stone Mills Tp,Wise,John,Reeve,,,Acclaimed,Yes,No,No
